%@metadata width_px 704.0
%@metadata height_px 416.0
%@metadata width_mm 475.0
%@metadata height_mm 290.0
%@metadata distance_mm 600.0
% The number after speed, direction denotes the step size that was used for the calculation.
% Acceleration was calculated between two adjacent samples of the already low pass filtered velocity
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN, FIX, SACCADE, SP, NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN, FIX, SACCADE, SP, NOISE}
@ATTRIBUTE speed_1 NUMERIC
@ATTRIBUTE direction_1 NUMERIC
@ATTRIBUTE acceleration_1 NUMERIC
@ATTRIBUTE speed_2 NUMERIC
@ATTRIBUTE direction_2 NUMERIC
@ATTRIBUTE acceleration_2 NUMERIC
@ATTRIBUTE speed_4 NUMERIC
@ATTRIBUTE direction_4 NUMERIC
@ATTRIBUTE acceleration_4 NUMERIC
@ATTRIBUTE speed_8 NUMERIC
@ATTRIBUTE direction_8 NUMERIC
@ATTRIBUTE acceleration_8 NUMERIC
@ATTRIBUTE speed_16 NUMERIC
@ATTRIBUTE direction_16 NUMERIC
@ATTRIBUTE acceleration_16 NUMERIC
@ATTRIBUTE EYE_MOVEMENT_TYPE {UNKNOWN, FIX, SACCADE, SP, NOISE, BLINK, NOISE_CLUSTER, PSO}

@DATA
158,349.28,214.81,1.0,FIX,FIX,21.697123,0.44,0.0,17.852102,1.15,0.0,12.110198,1.62,0.0,3.1876268,-0.12,0.0,1.9734435,1.89,0.0,FIX
2154,349.9,215.1,1.0,FIX,FIX,17.852102,1.15,112992.39,17.745173,1.81,91720.0,10.851092,2.05,40076.3,2.3758512,-2.37,39783.6,2.1873016,2.82,14902.18,FIX
4156,349.74,215.84,1.0,FIX,FIX,17.745173,1.81,91445.11,12.110198,1.62,49972.63,2.6922097,-3.08,79451.24,5.501472,-1.92,27803.19,2.0000176,-2.93,8787.57,FIX
6158,349.63,216.19,1.0,FIX,FIX,11.514179,2.39,80432.56,10.851092,2.05,39956.19,7.908326,-1.59,64350.81,5.99942,-2.28,16980.86,1.5741992,-2.64,5243.14,FIX
8160,349.21,216.34,1.0,FIX,FIX,6.051303,2.8,50779.81,2.6922097,-3.08,79451.24,3.1876268,-0.12,64837.76,4.1993413,-2.3,14232.33,1.2825168,-2.64,2303.1,FIX
10160,349.27,216.32,1.0,FIX,FIX,8.757433,-1.22,106412.94,7.908326,-1.59,64415.16,2.3758512,-2.37,39704.03,2.638429,-2.62,14936.15,0.8813744,2.8,7558.57,FIX
12160,349.4,215.82,1.0,FIX,FIX,18.665777,-1.28,78521.49,14.609429,-1.08,68133.76,5.501472,-1.92,27831.0,2.5030274,2.77,17497.01,1.3192145,2.09,6862.78,FIX
14160,349.61,215.19,1.0,FIX,FIX,20.580376,-1.02,42535.19,13.064968,-1.45,41867.83,5.99942,-2.28,16997.84,4.0569797,2.4,15316.77,1.878536,2.1,4422.14,FIX
16162,350.08,214.71,1.0,FIX,FIX,8.363249,-1.84,126812.7,10.251909,-1.67,30037.87,4.1993413,-2.3,14232.33,1.9734435,1.89,20038.73,3.4944944,1.95,13098.16,FIX
18161,349.47,214.68,1.0,FIX,FIX,13.125076,-2.92,93401.1,7.760904,-2.99,88525.32,2.638429,-2.62,14943.62,2.1873016,2.82,14879.82,2.8934135,1.65,9046.15,FIX
