@RELATION gaze_labels

%@METADATA width_px 704
%@METADATA height_px 416
%@METADATA width_mm 475.00
%@METADATA height_mm 290.00
%@METADATA distance_mm 600.00


@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN,FIX,SACCADE,SP,NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN,FIX,SACCADE,SP,NOISE}

@DATA
558,354.11,184.98,1.00,FIX,FIX
2566,349.98,183.78,1.00,SP,SACCADE
4561,344.25,183.53,1.00,SP,SACCADE
6561,342.55,181.76,1.00,SP,SACCADE
8562,339.99,180.87,1.00,SP,SACCADE
10563,337.82,178.57,1.00,SP,SACCADE
12565,337.95,176.39,1.00,SP,SACCADE
14567,339.11,175.36,1.00,SP,SACCADE
16563,339.51,174.08,1.00,SP,SACCADE
18567,339.58,173.46,1.00,SP,SACCADE
20563,338.65,171.68,1.00,SP,SACCADE
22571,338.26,170.74,1.00,SP,SACCADE
24571,337.87,170.31,1.00,SP,SACCADE
26568,337.02,170.19,1.00,SP,SACCADE
28568,337.35,170.22,1.00,SP,SACCADE
30568,337.52,168.83,1.00,SP,SACCADE
33030,338.94,166.35,1.00,SP,SACCADE
34577,340.10,166.31,1.00,SP,SACCADE
36572,340.15,165.16,1.00,SP,FIX
38579,340.15,165.51,1.00,SP,FIX
40574,340.25,167.06,1.00,SP,FIX
42577,340.39,167.97,1.00,SP,FIX
44578,340.81,167.99,1.00,SP,FIX
46577,340.49,167.95,1.00,SP,FIX
48581,340.19,167.48,1.00,SP,FIX
50575,340.33,168.98,1.00,SP,FIX
52580,340.23,169.77,1.00,SP,FIX
54579,340.07,169.44,1.00,SP,FIX
56578,340.34,170.36,1.00,SP,FIX
58580,340.25,170.12,1.00,SP,FIX
60577,339.81,171.31,1.00,SP,FIX
62580,339.78,169.74,1.00,SP,FIX
64585,340.07,170.45,1.00,SP,FIX
66582,340.20,170.75,1.00,SP,FIX
68583,340.03,170.89,1.00,FIX,FIX
70587,339.75,171.34,1.00,FIX,FIX
73071,339.30,171.09,1.00,FIX,FIX
74585,339.47,171.16,1.00,FIX,FIX
76591,339.53,171.40,1.00,FIX,FIX
78589,339.64,171.66,1.00,FIX,FIX
80591,339.24,173.39,1.00,FIX,FIX
82592,340.07,174.10,1.00,FIX,FIX
84592,340.09,174.58,1.00,FIX,FIX
86591,340.12,173.62,1.00,FIX,FIX
88590,339.49,173.31,1.00,FIX,FIX
90590,339.35,172.95,1.00,FIX,FIX
92592,339.08,173.22,1.00,FIX,FIX
94593,339.01,172.89,1.00,FIX,FIX
96593,338.88,173.73,1.00,FIX,FIX
98592,339.04,173.54,1.00,FIX,FIX
100591,338.55,173.35,1.00,FIX,FIX
102599,338.28,173.54,1.00,FIX,FIX
104599,338.39,173.70,1.00,FIX,FIX
106602,338.76,173.86,1.00,FIX,FIX
108599,338.78,172.32,1.00,FIX,FIX
110596,338.96,172.90,1.00,FIX,FIX
112599,338.69,173.39,1.00,FIX,FIX
114598,338.25,173.91,1.00,FIX,FIX
116599,338.62,174.10,1.00,FIX,FIX
118599,338.42,173.69,1.00,FIX,FIX
120601,338.46,173.29,1.00,FIX,FIX
122604,338.62,173.56,1.00,FIX,FIX
124603,339.15,174.06,1.00,FIX,FIX
126607,338.99,174.48,1.00,FIX,FIX
128621,338.59,174.98,1.00,FIX,FIX
130609,338.65,174.65,1.00,FIX,FIX
132609,338.18,174.84,1.00,FIX,FIX
134606,337.93,175.82,1.00,FIX,FIX
136608,338.34,175.03,1.00,FIX,FIX
138608,338.32,175.72,1.00,FIX,FIX
140609,338.55,175.50,1.00,FIX,FIX
142610,339.06,175.28,1.00,FIX,FIX
144611,338.67,175.35,1.00,FIX,FIX
146610,338.66,174.72,1.00,FIX,FIX
148610,338.35,174.55,1.00,FIX,FIX
150610,338.07,174.05,1.00,FIX,FIX
152614,337.84,174.72,1.00,FIX,FIX
154611,337.67,174.99,1.00,FIX,FIX
156615,337.83,175.38,1.00,FIX,FIX
158616,337.32,176.47,1.00,FIX,FIX
160616,337.49,176.58,1.00,FIX,FIX
162627,337.19,175.72,1.00,FIX,FIX
164622,337.51,175.59,1.00,FIX,FIX
166619,337.19,175.15,1.00,FIX,FIX
168620,337.44,174.92,1.00,FIX,FIX
170618,337.09,175.12,1.00,FIX,FIX
172624,337.12,175.15,1.00,FIX,FIX
174622,337.07,176.13,1.00,FIX,FIX
176624,337.35,175.94,1.00,FIX,FIX
178621,337.16,174.94,1.00,FIX,FIX
180623,337.11,174.33,1.00,FIX,FIX
182625,336.90,174.51,1.00,FIX,FIX
184624,336.65,175.54,1.00,FIX,FIX
186628,336.76,176.47,1.00,FIX,FIX
188624,336.39,177.05,1.00,FIX,FIX
190634,336.27,176.58,1.00,FIX,FIX
192632,335.98,175.74,1.00,FIX,FIX
194629,335.84,175.41,1.00,FIX,FIX
196627,335.43,176.12,1.00,FIX,FIX
198628,335.59,176.19,1.00,FIX,SACCADE
200629,336.94,175.00,1.00,FIX,SACCADE
202635,338.99,174.12,1.00,SACCADE,SACCADE
204631,342.63,171.67,1.00,SACCADE,SACCADE
206631,348.77,168.67,1.00,SACCADE,SACCADE
208632,352.74,167.22,1.00,SACCADE,SACCADE
210651,355.88,164.50,1.00,SACCADE,SACCADE
212636,357.40,161.51,1.00,SACCADE,SACCADE
214638,358.13,159.47,1.00,SACCADE,SACCADE
216637,358.44,157.56,1.00,SACCADE,SACCADE
218638,358.69,156.26,1.00,SACCADE,SACCADE
220634,358.76,155.64,1.00,SACCADE,SACCADE
222641,360.28,153.53,1.00,SACCADE,SACCADE
224639,365.40,153.21,1.00,SACCADE,SACCADE
226645,367.91,152.21,1.00,SACCADE,SACCADE
228642,371.41,152.04,1.00,SACCADE,SACCADE
230641,371.63,152.97,1.00,SACCADE,SACCADE
232648,371.66,152.10,1.00,SACCADE,FIX
234642,371.13,152.17,1.00,SACCADE,FIX
236646,371.11,152.26,1.00,SACCADE,FIX
238642,370.51,152.97,1.00,SACCADE,FIX
240645,370.33,152.91,1.00,SACCADE,FIX
242648,370.16,152.71,1.00,SACCADE,FIX
244653,370.93,152.37,1.00,SACCADE,FIX
246650,370.72,152.84,1.00,SACCADE,FIX
248649,371.02,153.09,1.00,FIX,FIX
250646,371.52,152.83,1.00,FIX,FIX
252667,371.29,152.97,1.00,FIX,FIX
254651,371.21,151.86,1.00,FIX,FIX
256651,371.56,152.21,1.00,FIX,FIX
258654,371.71,152.27,1.00,FIX,FIX
260651,371.92,152.53,1.00,FIX,FIX
262655,371.56,151.97,1.00,FIX,FIX
264654,371.52,151.81,1.00,FIX,FIX
266657,371.51,150.73,1.00,FIX,FIX
268655,371.74,151.09,1.00,FIX,FIX
270656,371.65,150.77,1.00,FIX,FIX
272657,371.71,151.62,1.00,FIX,FIX
274660,371.93,151.33,1.00,FIX,FIX
276665,372.49,150.98,1.00,FIX,FIX
278659,372.31,151.55,1.00,FIX,FIX
280657,372.37,151.49,1.00,FIX,FIX
282666,372.80,151.29,1.00,FIX,FIX
284665,373.34,151.73,1.00,FIX,FIX
286662,373.87,151.42,1.00,FIX,FIX
288662,374.21,150.89,1.00,FIX,FIX
290664,374.07,150.89,1.00,FIX,FIX
292678,373.97,151.42,1.00,FIX,FIX
294667,373.79,151.38,1.00,FIX,FIX
296665,374.04,151.59,1.00,FIX,FIX
298669,374.29,151.00,1.00,FIX,FIX
300667,374.20,150.88,1.00,FIX,FIX
302671,374.82,150.93,1.00,FIX,FIX
304672,375.24,150.00,1.00,FIX,FIX
